;Austria;Belgium;Denmark;Finland;France;Germany;Greece;Irland;Italy;Luxembourg;Netherlands;Portugal;Spain;Sweden;UK
2007 Sep;103,1628441;96,45;113,8757459;115,3;113,3886611;109,8598641;121,2488575;98,38016198;119,9096159;108,9252557;102,8;109,95;126,1113336;112,4112411;108,6309524
2007 Oct;104,0476517;100,48;121,0222108;114,3;115,9884012;109,9605605;120,3236603;106,7793221;118,7044941;111,9614141;102,7;110,6;127,6431718;113,8113811;109,4246032
2007 Nov;101,5364986;97,79;119,268157;120,5;114,4885511;109,7591676;121,7618533;105,6594341;118,0015064;114,2307715;104,7;109,3;125,9911894;117,5117512;109,6230159
2007 Dec;105,1561506;101,01;112,1712695;117,2;114,0885911;110,9675254;121,5174988;106,0393961;116,9972383;114,6455644;107;109,95;127,2927513;117,5117512;109,2261905
2008 Jan;107,0373796;101,97;120,2283199;119,7;114,5885411;112,4779726;125,2123955;99,60004;121,0143108;113,4272627;97,3;113,09;127,5330396;117,4117412;109,6230159
2008 Feb;107,2174574;100,67;118,1061336;118,2;114,7885211;112,1758832;117,1024544;99,970003;120,4117499;117,2809089;101,3;111,47;128,1237485;116,9116912;109,5238095
2008 Mar;107,8420896;100,7;108,9954162;116,7;114,5885411;111,4710078;115,7922088;99,32006799;121,0143108;115,9398861;103,3;105,5;125,6307569;116,1116112;107,8373016
2008 Apr;107,5454936;100,82;126,0728112;119,5;116,7883212;111,7730973;122,9185168;95,58044196;122,4202862;119,7744395;105,3;109,19;123,9787745;115,7115712;109,2261905
2008 May;107,106468;98,33;118,7562375;118,1;111,1888811;109,4570781;115,6452928;101,279872;118,8049209;110,4595084;100,5;106,15;121,0152183;116,6116612;108,1349206
2008 Jun;106,0357045;101,04;113,8522624;115,9;111,2888711;110,6654359;120,9542669;97,54024598;120,2108963;110,2014813;100,8;108,43;116,5198238;113,4113411;107,0436508
2008 Jul;103,6974964;102,1;117,5513633;118,5;111,9888011;108,8528992;119,2343046;96,42035796;116,1938238;112,5676318;99,2;109,19;119,3632359;113,2113211;105,8531746
2008 Aug;106,59439;100,43;111,6518636;115,1;110,4889511;111,0682219;116,1890014;102,769723;112,5784584;114,28574;100,6;108,54;115,3283941;113,3113311;107,1428571
2008 Sep;106,3143657;101,42;115,4244181;117,3;109,9890011;108,4501133;116,8980425;99,780022;111,1724831;112,0705925;102,2;107,24;113,5562675;110,3110311;106,25
2008 Oct;102,0395935;98,96;114,6050949;116;106,7893211;106,0333977;114,9631974;96,24037596;108,5613859;100,9532618;101,9;104,64;109,5314377;107,5107511;104,265873
